"";"articles.title";"articles.description";"articles.content";"articles.publishedAt"
"1";"Nvidia and Intel used compromised SolarWinds software";"Fallout from the SolarWinds hack continues to expand. A handful of major tech companies, including Nvidia and Intel, have joined the growing list of organizations affected by the unprecedented hack US officials have blamed on Russia. The Wall Street Journal n…";"The fact that these firms were impacted in some way isn’t necessarily surprising. SolarWinds has hundreds of thousands of customers, including multiple government agencies and hundreds of Fortune 500… [+759 chars]";"2020-12-22T00:24:44Z"
"2";"Should You Preorder a $329 Nvidia GeForce RTX 3060?";"Nvidia just announced its entry-level 3000-series graphics card, the $329 GeForce RTX 3060—otherwise known as the best way to get ray-tracing in your games without breaking the bank. Normally, I’d take a moment to say that you shouldn’t preorder anything with…";"Nvidia just announced its entry-level 3000-series graphics card, the $329 GeForce RTX 3060otherwise known as the best way to get ray-tracing in your games without breaking the bank. Normally, Id take… [+7427 chars]";"2021-01-13T15:00:00Z"
"3";"Why Graphics Cards Are Even More Expensive in 2021";"Nvidia and AMD’s high-end graphics cards were expensive in 2020 (if you could find them), but their prices are only going up. And you can thank the government for that.Read more...";"Nvidia and AMDs high-end graphics cards were expensive in 2020 (if you could find them), but their prices are only going up. And you can thank the government for that.
As of December 31, 2020, GPUs … [+2754 chars]";"2021-01-11T21:00:00Z"
"4";"How to Watch Nvidia's 'GeForce RTX: Game On' Event Today";"Later today, Nvidia’s “GeForce RTX: Game On” live event will give us our first look at the company’s latest gaming-focused hardware. (Here’s hoping any new announcements drop the price and raise the availability of its top-shelf graphics cards.)Read more...";"Later today, Nvidias GeForce RTX: Game On live event will give us our first look at the companys latest gaming-focused hardware. (Heres hoping any new announcements drop the price and raise the avail… [+1659 chars]";"2021-01-12T14:00:00Z"
"5";"UK’s markets regulator asks for views on Nvidia-Arm";"The UK’s competition and markets regulator is seeking views on Nvidia’s takeover of Arm Holdings as it prepares to kick off formal oversight of potential competitive impacts of the deal. The US-based chipmaker’s $40BN purchase of the UK-based chip designer, a…";"The UK’s competition and markets regulator is seeking views on Nvidia’s takeover of Arm Holdings as it prepares to kick off formal oversight of potential competitive impacts of the deal.
The US-base… [+2865 chars]";"2021-01-06T15:33:24Z"
"6";"Nvidia's Ray Tracing 30-Series GPUs Are Coming to Laptops";"Like clockwork, Nvidia announced this morning that its wildly fast discrete desktop graphics will be coming to laptops everywhere in the months ahead. This probably surprised no one, as Nvidia always has the same GPUs on laptops, but if the popular reception …";"Like clockwork, Nvidia announced this morning that its wildly fast discrete desktop graphics will be coming to laptops everywhere in the months ahead. This probably surprised no one, as Nvidia always… [+1261 chars]";"2021-01-12T17:41:00Z"
"7";"The future of gaming laptops with ASUS ROG";"Now that we’ve got new NVIDIA RTX 30-series GPUs and AMD’s Ryzen 5000 chips on the way, it’s a great time to be in the market for a gaming laptop. To see where ASUS ROG is headed, we chatted with Jeff Kampman, part of the company’s technical marketing team. H…";"Now that weve got new NVIDIA RTX 30-series GPUs and AMDs Ryzen 5000 chips on the way, its a great time to be in the market for a gaming laptop. To see where ASUS ROG is headed, we chatted with Jeff K… [+211 chars]";"2021-01-12T22:50:17Z"
"8";"Horizon Robotics, a Chinese rival to Nvidia, seeks to raise over $700M";"In their rush to offer alternatives to advanced western chipsets, Chinese semiconductor companies are racking up large fundings from investors. Horizon Robotics, a five-year-old unicorn specializing in AI chips for robots and autonomous vehicles, announced Tu…";"In their rush to offer alternatives to advanced western chipsets, Chinese semiconductor companies are racking up large fundings from investors. Horizon Robotics, a five-year-old unicorn specializing … [+1818 chars]";"2020-12-22T06:09:06Z"
"9";"Lenovo's Yoga 7 AiO can flip between landscape and portrait modes";"It’s time again for Lenovo to update its products, and brace yourselves, because there’s a ton of them. As part of its CES 2021 newspalooza, the company is announcing a slew of new devices like laptops, tablets, all-in-ones and monitors. Of note are the new I…";"The IdeaPad 5G’s 14-inch IPS display runs at a 1,920 x 1,080 resolution and can get up to 300 nits of brightness. Keeping everything running alongside the Snapdragon 8cx is 8GB of RAM and a 512GB SSD… [+1434 chars]";"2021-01-07T14:00:04Z"
"10";"Google Stadia and Nvidia GeForce Now are coming to LG TVs";"LG spent a good chunk of its CES press conference talking about its lineup of TVs for 2021. You can expect bigger, slimmer and brighter TVs. I’m not going to list the specifications of new models. But there are a few new features that are worth mentioning. LG…";"LG spent a good chunk of its CES press conference talking about its lineup of TVs for 2021. You can expect bigger, slimmer and brighter TVs. Im not going to list the specifications of new models. But… [+2331 chars]";"2021-01-11T14:30:18Z"
"11";"Acer’s latest gaming monitors include its first with HDMI 2.1";"Acer has announced three new gaming monitors at CES 2021, including the Nitro XV28 that supports HDMI 2.1 to display 4K resolution at up to 120Hz. It also showed off the Predator XB27 and XB32, two monitors with HDR and support for Nvidia G-Sync technology.";"The Nitro XV28 will support up to 4K at 120Hz
The Nitro XV28 is Acers first monitor with HDMI 2.1
Acer
As the first part of Acers CES 2021 announcements, the company shared that it has three new g… [+3430 chars]";"2021-01-07T18:00:00Z"
"12";"The tech trends we saw kick off at CES 2021";"In 2021 there are a few big CES trends to keep an eye on. There are concept devices; processor news with imminent release dates from AMD, Intel, and Nvidia; some very great laptops (especially gaming laptops); and of course the state of the art for television…";"Rollable phones, a huge processor battle, and the best TVs yet
Another CES is in the books. Going all-virtual meant that it was a smaller show than usual and since it was already a show thats been o… [+2678 chars]";"2021-01-16T16:00:00Z"
"13";"Nvidia Shield Update Brings Support for PS5 and New Xbox Controllers";"Put those next-generation controllers to good use on your streaming device.Read more...";"Put those next-generation controllers to good use on your streaming device.
Nvidias 8.2.2 update rolled out Tuesday, bringing with it welcome support for PS5 and Xbox controllers that the premium st… [+1399 chars]";"2021-01-20T18:10:00Z"
"14";"This Was the Most Exciting and Disappointing Year for Computers and Consoles";"This fall was a blizzard of hardware and console announcements from practically every major company, all timed to launch just before the holiday shopping season. Nvidia wowed us with new graphics cards. AMD hit the ground running with new processors and its o…";"This fall was a blizzard of hardware and console announcements from practically every major company, all timed to launch just before the holiday shopping season. Nvidia wowed us with new graphics car… [+4420 chars]";"2020-12-24T15:00:00Z"
